Job ID,Duration
Job_1,55
Job_2,51
Job_3,52
Job_4,10
Job_5,19
Job_6,94
Job_7,43
Job_8,70
Job_9,96
Job_10,44
Job_11,56
Job_12,82
Job_13,1
Job_14,48
Job_15,22
Job_16,55
Job_17,31
Job_18,32
Job_19,100
Job_20,86
Job_21,51
Job_22,43
Job_23,58
Job_24,93
Job_25,11
Job_26,36
Job_27,55
Job_28,97
Job_29,94
Job_30,20
Job_31,65
Job_32,61
Job_33,53
Job_34,24
Job_35,64
Job_36,28
Job_37,8
Job_38,93
Job_39,77
Job_40,85
Job_41,58
Job_42,72
Job_43,100
Job_44,36
Job_45,50
Job_46,93
Job_47,8
Job_48,58
Job_49,71
Job_50,11
Job_51,92
Job_52,45
Job_53,33
Job_54,43
Job_55,81
Job_56,90
Job_57,73
Job_58,100
Job_59,25
Job_60,61
Job_61,27
Job_62,76
Job_63,45
Job_64,28
Job_65,31
Job_66,51
Job_67,53
Job_68,56
Job_69,5
Job_70,53
Job_71,21
Job_72,6
Job_73,4
Job_74,51
Job_75,20
Job_76,53
Job_77,3
Job_78,68
Job_79,44
Job_80,50
Job_81,42
Job_82,26
Job_83,92
Job_84,73
Job_85,5
Job_86,91
Job_87,44
Job_88,46
Job_89,88
Job_90,8
Job_91,65
Job_92,63
Job_93,5
Job_94,4
Job_95,36
Job_96,99
Job_97,39
Job_98,90
Job_99,82
Job_100,54
Job_101,24
Job_102,47
Job_103,99
Job_104,19
Job_105,78
Job_106,63
Job_107,85
Job_108,69
Job_109,96
Job_110,9
Job_111,76
Job_112,53
Job_113,10
Job_114,92
Job_115,47
Job_116,47
Job_117,40
Job_118,72
Job_119,18
Job_120,23
Job_121,1
Job_122,84
Job_123,85
Job_124,60
Job_125,40
Job_126,54
Job_127,37
Job_128,1
Job_129,20
Job_130,48
Job_131,51
Job_132,64
Job_133,44
Job_134,74
Job_135,41
Job_136,18
Job_137,71
Job_138,100
Job_139,12
Job_140,91
Job_141,27
Job_142,82
Job_143,22
Job_144,35
Job_145,56
